time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
0	50	100	2	12	128	0	0.5655262577039033	0.5553375076138697	0.5665674187312206	0.5873575509639329	0.6231201811811233
0	50	100	2	24	128	0	0.5929215201167906	0.619555490609369	0.5955558824517977	0.6917824702453371	0.6797759995742515
0	50	100	2	50	128	0	0.5692169661815454	0.6008305382470924	0.5829300843782013	0.6488415011944959	0.6700734746516865
0	50	100	2	100	128	0	0.5663073367382611	0.5839850628805048	0.5654402322737117	0.6318510653020117	0.6572601659962082
