time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
30	50	100	4	50	128	0	0.8195695009392614	0.7720853983696936	0.7682924142067524	0.8261396962433297	0.7190816112844013
31	50	100	4	50	128	0	0.8971206952875527	0.8225486135095023	0.8300468766714901	0.9083250392573413	0.7329588036025113
20	50	100	4	50	128	0	0.7891327561251164	0.7705014196506722	0.7655087242496157	0.8306185628017687	0.7103137423383262
27	50	100	4	50	128	0	0.8100016875215115	0.7671655703123034	0.774030980943632	0.8584987015913034	0.7026312927270574
