time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	train	val	test_all	test_low	test_high
17	50	50	3	50	128	0.8257518890226394	0.8044274026352825	0.8086759970845653	0.8809948049487707	0.7231999730994482
22	50	50	3	50	128	0.837484942851164	0.7871583101750249	0.7869734154012608	0.8720508357054426	0.7162207931032173
10	50	50	3	50	128	0.804976836013568	0.7721447319695008	0.7707481622633539	0.8409869276397419	0.6929230089674822
11	50	50	3	50	128	0.8693256286247188	0.8353033275663198	0.8355690442833003	0.9191447116213699	0.7414957583434522
10	50	50	3	50	128	0.8445363282065118	0.7932982607970253	0.787139884672014	0.8713306005363257	0.7149167498454362
11	50	50	3	50	128	0.8733343639211565	0.8305961283883865	0.8327647490810757	0.9168722584771201	0.7429162086059031
10	50	50	3	50	128	0.8773900660386538	0.8286765295534653	0.8304697178671093	0.9157141090653675	0.742538723484327
9	50	50	3	50	128	0.8757654299482319	0.8439242565368779	0.8413991372482139	0.9223875685480537	0.7462034233752161
15	50	50	3	50	128	0.8265114445240759	0.789654203014612	0.7902690144663775	0.8651523740995651	0.7211264145298488
