time (min)	LSTM_dim	attn_dim	n_heads	head_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
18	150	100	4	24	128	0.3	0.8217854980957885	0.7708023676784479	0.7642818292137332	0.8322154813470223	0.6999305166831681
20	150	100	4	24	128	0.3	0.8483572923318434	0.8046241981593707	0.7968688607465532	0.8802831045691258	0.7168945082170929
24	150	100	4	24	128	0.3	0.859882034505729	0.7841500632599798	0.7775262764234198	0.861844378802912	0.7080970152462973
7	150	100	4	24	128	0.3	0.6728141652945591	0.6804552319073243	0.6806294651413772	0.7194201080895816	0.6798875635376926
17	150	100	4	24	128	0.3	0.9074825430063185	0.8113374683417056	0.8167159874358675	0.9032991897244554	0.7224244014769778
