name	time (min)	auc	test_auc	test_low_auc	test_high_auc	val_auc
GTEx_Exon_DSC	4	0.7412011704408175	0.6794973751981093	0.6987860078639364	0.6067789558827251	0.6800423597147709
GTEx_Junc_DSC	7	0.695160490547975	0.6806950000595934	0.6970152216143922	0.6259299514774732	0.6824670268056552
HIPSCI_MAJIQ_DSC	8	0.8319902734176787	0.8209305813545797	0.8513395195586496	0.7075168172962432	0.8170017997119148
HIPSCI_SUPPA_DSC	2	0.7281501297367586	0.6122183278582268	0.6129026277213045	0.6722882526362056	0.5809071284266165
iPSC_DSC	11	0.8371118820273141	0.8139626822705998	0.8488219097461215	0.7162658135683453	0.8190497372741847
