name	time (min)	auc	test_auc	test_low_auc	test_high_auc	val_auc
HEXEvent_DSC	10	0.8941563144523679	0.8425967539248187	0.8610321937403679	0.8027222987823357	0.8447012001778056
HEXEvent_BiLSTM	25	0.8574346256002773	0.8617693667725798	0.8640406693189678	0.8463781902753061	0.8670383568039218
HEXEvent_D2V_MLP	3	0.9169024650107975	0.8994375296789506	0.9081004406517115	0.8896709296803438	0.89711930988245

GTEx_Junc_Cerebellum_D2V_MLP	3	0.6687580094234512	0.6609452853815724	0.672241781794207	0.583187684502057	0.664034804463519
GTEx_Junc_Cerebellum_D2V_MLP	2	0.6671153205607956	0.6577182350159084	0.6764901846705584	0.5944609188101949	0.6576253813798405
GTEx_Junc_Cerebellum_D2V_MLP	2	0.663881308574023	0.6644966723030642	0.6790757672065498	0.5928469194329123	0.6628767103700639
GTEx_Junc_Cerebellum_D2V_MLP	2	0.6652251668433398	0.6651509546808568	0.6782116769135073	0.6016244047865987	0.6645186524583288
GTEx_Junc_Cerebellum_D2V_MLP	3	0.6627864561936786	0.6684461855234975	0.682495080533287	0.6021534631456583	0.6627255956133487
GTEx_Junc_Cerebellum_D2V_MLP	3	0.6682892208126834	0.6688376849228033	0.6772447946334632	0.5969939577896715	0.6708817278859547
GTEx_Junc_Cerebellum_D2V_MLP	2	0.6629581194591032	0.6628011835140681	0.6799622365862428	0.6155338174456965	0.6631310315289656
GTEx_Junc_Cerebellum_D2V_MLP	3	0.6690230496406265	0.6675472145177931	0.6775781884107825	0.6038821226871971	0.6700979054352203
GTEx_Junc_Cerebellum_D2V_MLP	2	0.6653317283096989	0.6698359396815385	0.6784716405545556	0.5937545931660678	0.6642996932639122
GTEx_Junc_Cerebellum_BiLSTM	5	0.594897339636652	0.5964460734764772	0.6069777974145972	0.5306099561571553	0.5978044775343576
GTEx_Junc_DSC	7	0.695160490547975	0.6806950000595934	0.6970152216143922	0.6259299514774732	0.6824670268056552

GTEx_Exon_D2V_MLP	2	0.6503364966356254	0.6200189017494139	0.64788999400428	0.560620153187427	0.6296620984234926
GTEx_Exon_D2V_MLP	1	0.6343012461424398	0.6172305224993605	0.6513153722693729	0.5451099834036235	0.6111641287824165
GTEx_Exon_D2V_MLP	1	0.62364585813293	0.6185528731130692	0.6467638919482238	0.570134258346019	0.6150864343776543
GTEx_Exon_D2V_MLP	1	0.6544556259358175	0.6149906884206916	0.6701658991315237	0.5636715702624192	0.6150224258753951
GTEx_Exon_D2V_MLP	1	0.6312949027372792	0.6213899747783693	0.64050146872634	0.5477760521707317	0.6290244075002362
GTEx_Exon_D2V_MLP	1	0.6334358026868389	0.5935973500381706	0.6528024425654302	0.55673583349471	0.5980232137371897
GTEx_Exon_D2V_MLP	1	0.639563551731704	0.6148194564641435	0.647233493836276	0.567141779869887	0.6161753348798078
GTEx_Exon_D2V_MLP	1	0.6527181406543865	0.6129573526896693	0.6543122363629396	0.5619107301000142	0.6124517027447938
GTEx_Exon_D2V_MLP	1	0.631354100844737	0.6064504904812047	0.6511010245345317	0.5669567573939978	0.6004244013525132
GTEx_Exon_BiLSTM	2	0.5742088468325343	0.5900052574907148	0.6124517813728638	0.5653567075387096	0.595066296072435
GTEx_Exon_DSC	4	0.7412011704408175	0.6794973751981093	0.6987860078639364	0.6067789558827251	0.6800423597147709



ReconJunc_D2V_MLP	1	0.6856362011004982	0.6757313489274965	0.6795662550634359	0.6146125336383337	0.6736892925839654
ReconJunc_D2V_MLP	0	0.6755218096890138	0.6810963153727466	0.6947969991095813	0.6149032019294366	0.6658367415595563
ReconJunc_D2V_MLP	1	0.6810227827859691	0.672238178181223	0.6894698673792561	0.6545553197697611	0.6820585009326189
ReconJunc_D2V_MLP	1	0.6872824742714276	0.689728676304105	0.6917543860494797	0.6311352587525362	0.6849564181625095
ReconJunc_D2V_MLP	1	0.6809201647957321	0.6818719422931272	0.6926359371920304	0.6159982703865919	0.6805669119239763
ReconJunc_D2V_MLP	1	0.6919589736446269	0.673394519847034	0.6856370785575685	0.6287315904987651	0.6774773022863894
ReconJunc_D2V_MLP	0	0.6800886276738839	0.6828399699313721	0.6990780671576252	0.6135126183992278	0.6759936030759982
ReconJunc_D2V_MLP	1	0.6842325845897602	0.6863904467558473	0.6972768439449593	0.5914885608183322	0.6843336881057889
ReconJunc_D2V_MLP	1	0.6840097290548085	0.6640425109598411	0.6810963041273869	0.6301384540628419	0.6794879549103618






HIPSCI_SUPPA_DSC	2	0.7281501297367586	0.6122183278582268	0.6129026277213045	0.6722882526362056	0.5809071284266165
HIPSCI_SUPPA_BiLSTM	1	0.538267692800648	0.5549767956015662	0.5606341364176183	0.5349714184778316	0.5410754482241177
HIPSCI_SUPPA_D2V_MLP	1	0.6447979969150187	0.6177202886750087	0.5992953913762733	0.6001144308390169	0.6092346491239589

HIPSCI_MAJIQ_DSC	8	0.8319902734176787	0.8209305813545797	0.8513395195586496	0.7075168172962432	0.8170017997119148
HIPSCI_MAJIQ_BiLSTM	2	0.6293924935963622	0.6528402853147965	0.645025236203504	0.6570517827737031	0.6544455870989153
HIPSCI_MAJIQ_D2V_MLP	2	0.7414491158858972	0.7204956133757839	0.7261998849118142	0.6790902259200478	0.7359233657998808

iPSC_DSC	11	0.8371118820273141	0.8139626822705998	0.8488219097461215	0.7162658135683453	0.8190497372741847
iPSC_BiLSTM	2	0.6289194499269726	0.631883360850988	0.6433394110529604	0.6450907369439418	0.6343418359242186
iPSC_D2V_MLP	4	0.7550373461805931	0.7125347086943762	0.7397470418184487	0.6596703162608208	0.7214718501997469


HEXEvent_DSC	20	0.8954713318775157	0.871474775625128	0.881497198692579	0.8420034245568401	0.8740237592037177
HEXEvent_DSC	13	0.8837614759489547	0.864363621109059	0.8946456792968384	0.8627792424149953	0.8531619747523573
HEXEvent_DSC	11	0.8839479022012248	0.8693226631530374	0.8783534974230404	0.8402072395555968	0.8717819210549569
HEXEvent_DSC	7	0.8847690109051646	0.8698806541269826	0.887035377202767	0.8683332128819186	0.8614858376761504
HEXEvent_DSC	14	0.8960835754758073	0.8797273851460015	0.8953007417246469	0.8642807394979528	0.8735194840118945
HEXEvent_DSC	16	0.889412870481007	0.877244101128349	0.8986670112591982	0.8667928346819532	0.8780770548361495
HEXEvent_DSC	21	0.8900126071560044	0.8729573869238557	0.893101308205262	0.8523082411889231	0.874726794894341
HEXEvent_DSC	17	0.8889869362894076	0.8660454899844376	0.8818445973543497	0.8596292132325632	0.8693054139011938
HEXEvent_DSC	22	0.8909471271785628	0.8826614313229156	0.9017990532351874	0.8503211615319899	0.8741556627449879
